series_id,model,regime,mase,mae
intermittent_008,lightgbm,intermittent,1.1352097589006553,1.9055688789840406
intermittent_008,seasonal_naive,intermittent,0.957427608887463,1.6071428571428572
intermittent_009,chronos_bolt_small,intermittent,0.7822991377134191,1.4584238401481084
intermittent_009,ets,intermittent,0.8678406305413773,1.6178970473240757
intermittent_009,lightgbm,intermittent,0.8890913890216076,1.6575143897122901
intermittent_009,seasonal_naive,intermittent,1.1494294381048678,2.142857142857143
intermittent_010,chronos_bolt_small,intermittent,0.9184929407274105,1.6863565019198827
intermittent_010,ets,intermittent,1.0508797919289097,1.9294192598280075
intermittent_010,lightgbm,intermittent,1.1154930589050527,2.0480494615900495
intermittent_010,seasonal_naive,intermittent,2.1008360222939277,3.857142857142857
mean_step_001,chronos_bolt_small,mean_step,0.9134898572495505,3.8513916136464124
mean_step_001,ets,mean_step,0.7226423723295602,3.0467538860645473
mean_step_001,lightgbm,mean_step,0.7050604937781287,2.972626407726674
mean_step_001,seasonal_naive,mean_step,1.284168556181943,5.414221043109443
mean_step_002,chronos_bolt_small,mean_step,0.5872046968864433,3.104406467191887
mean_step_002,ets,mean_step,0.5828001346486927,3.0811206325101756
mean_step_002,lightgbm,mean_step,0.5865084384443853,3.1007255204593034
mean_step_002,seasonal_naive,mean_step,0.7839350671982771,4.144471434531918
mean_step_003,chronos_bolt_small,mean_step,0.8414725337338171,3.438986107252874
mean_step_003,ets,mean_step,0.6940977848159068,2.836685148195194
mean_step_003,lightgbm,mean_step,0.6213985550688987,2.539573084419822
mean_step_003,seasonal_naive,mean_step,0.644304567512923,2.6331869047283996
mean_step_004,chronos_bolt_small,mean_step,0.7920978473241155,4.788411737002513
mean_step_004,ets,mean_step,0.7171189332145695,4.335147138995163
mean_step_004,lightgbm,mean_step,0.7167285995348798,4.332787483077036
mean_step_004,seasonal_naive,mean_step,0.7726936360651354,4.671108864316184
mean_step_005,chronos_bolt_small,mean_step,0.9128566668995003,6.657533131826521
mean_step_005,ets,mean_step,0.8681076247564384,6.331174962480167
